product_id;product_name;product_description;product_isbn;product_quantity;product_retail_price;product_price;product_image_small;product_image_medium;product_image_large;product_main_category;product_sub_category_1;product_sub_category_2;product_other_category;product_condition;product_color_choices;product_size_choices;product_other_choices;product_weight;product_length;product_width;product_height;related_products
13;Tea: Dogadan Mint-Lemon Herbal Tea Bags (Cay: Dogadan Nane-Limon Bitkisel Suzme Poset Cay);Faboulus taste in a 20 Tea Bags. No artificial coloring and caffeine free. (Harika tat 20 suzen poset icinde. Bu urun, hicbir yapay boyar madde icermez ve kafainsizdir.)<p>Ingredients(Icindekiler): Mint Leaves, Lemon Grass, Verbena, Lemon Peel, Natural Lemon Flavor, Chiicory Root. (Nane Yapragi, Limon Otu, Mine Cicegi, Limon Kabugu, Dogal Limon Aromasi, Hidiba Koku.)<p>Weight: 1.4 oz. (40 grams);At-00011;50;2.95;2.39;images/product/Dogadan Nane Limon Bitkisel Cay -T.jpg;images/product/Dogadan Nane Limon Bitkisel Cay -Q.jpg;images/product/Dogadan Nane Limon Bitkisel Cay -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;2.00;0;0;0;168,248,268;
14;Canned Food: Tamek Stuffed Vine Leaves (Konserve Yemekler: Tamek Yaprak Dolmasi);Cooked in vegi oil. Ready Meal: One of the exquisite items of Turkish Kitchen. .(Bitkisel Sivi yagli. Hazir Yemek: Turk mutfaginin essiz parclarindan biri.)<p>Ingredients: Onion, Vine Leaves, Rice, Sunflower Oil, Currants, Salt, Sugar, Pine-kernel, Dried Mints, Spices, Citric Acid E330, Dill, Parsley. (Sogan, Taze Asma Yapragi, Pirinc, Aycicek Yagi, Kasuzumu, Tuz, Seker, Cam Fistigi, Kuru Nane, Baharat, Asitligi Duzenleyici, Dereotu, Maydanoz.)<p>Nutrition Facts per Serving (Besin Ö&#287~eleri): <p>Calories (Kalori): 90 kcal.<p>Fat from Calories (Yagdan gelen kalori): 9 kcal. <p>Fat acid: (Doymus yag asidi): 0.1 (g/100g)<p>Sodium (Sodyum): 538 mg.<p>Total Carbohydrate (Toplam Karbohidrat): 20 g. <p>Diatery Fiber (Diyet Lifi): 3 g. <p>Sugar (Seker): 2.2 g. <p>Protein (Protein): 2 g. <p>Iron (Demir): 1.5 mg. <p>Weight (Agirlik): 14.10 oz. (400 grams);At-00012;48;2.99;2.59;images/product/Tamek Yaprak Sarmasi -T.jpg;images/product/Tamek Yaprak Sarmasi -Q.jpg;images/product/Tamek Yaprak Sarmasi -Z.jpg;Canned Foods (Konserve Yemekler);;;Express Checkout (Hizli Alisveris),Express-Canned Foods (Konserve Yemekler),By Product Category (Urun Tipine Gore);New;;;;6.00;0;0;0;22,21,511;
15;Tea: Akdem Peppermint Tea Bags (Cay: Akdem Nane Suzme Poset Cay);20 tea bags. No Atrificial Coloring and Caffeine Free. (20 susme poset. Bu urun, hicbir yapay boyar madde icermez ve kafainsizdir.)<p>Ingredients(Icindekiler): Peppermint Leaf. (Nane Yapragi.)<p>Direction (Kullanilmasi): <p>Hot Tea (Sicak Cay): Use one bag per cup. Pour boiling water directly over the bag, let infuse about three minutes. (Suzen poseti fincana veya demlige koyun, uzerine sicak su ekleyin, yaklasik 3 dakkika bekleyin, sekerli, sekersiz veya bal ile tadlandirin.)<p>Cold Tea: After preparing your drink as hot tea. Refrigate it. Drink it cold or iced whenever you wish. <p>Weight: 1.4 oz. (40 grams);At-00013;50;2.95;2.49;images/product/Akdem Nane Cayi -T.jpg;images/product/Akdem Nane Cayi -Q.jpg;images/product/Akdem Nane Cayi -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;2.00;0;0;0;148,139,17;
17;Tea: Akdem Rosehip Tea Bags (Cay: Akdem Kusburnu Suzme Poset Cayi);Unique tea from Akdem: 20 tea bags. No chemicals or additives are used. (Akdem'den farkli bir cay: 20 suzme poset. Hicbir Kimyasal ve boyar madde kullanilmamistir.)<p>Ingredients(Icindekiler): Rosehip and Hibiscus. (Kusburnu Meyvasi ve Hibiscus Bitkisi.)<p>Direction (Kullanilmasi): <p>Hot Tea (Sicak Cay): Use one bag per cup. Pour boiling water directly over the bag, let infuse about three minutes. (Suzen poseti fincana veya demlige koyun, uzerine sicak su ekleyin, yaklasik 3 dakkika bekleyin, sekerli, sekersiz veya bal ile tadlandirin.)<p>Cold Tea: After preparing your drink as hot tea. Refrigate it. Drink it cold or iced whenever you wish.<p>Weight(Agirligi): 1.4 oz. (40 grams);At-00015;50;2.95;2.49;images/product/Akdem Kusburnu -T.jpg;images/product/Akdem Kusburnu -Q.jpg;images/product/Akdem Kusburnu -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;3.00;0;0;0;315,148,316;
18;Tea: Gulluoglu Apple Tea (Cay: Gulluoglu Elma Cayi);Eloquent apple tea from Gulluoglu. Faboulus taste! (Gulluoglundan guzel bir elma cayi. Harika tat.)<p>Ingredients (Icindekiler):  Sugar, Citric Acit E 330, Apple concentrate, Vitamin C, Tricalcium Phosphat E341, Food Coloring, Naturel Apple Flavour. (Seker, Citric Asit, Elma Konsantre, Vitamin C, Tikalsiyum Fosfat, Renklendirici, dogal Elma Tatlandirici.) <p>Preparation (Hazirlanisi): Add 2 spoon of Turkish Apple Tea to 1 glass of hot water, or 1 tablespoon to 1 glass of cold water, stir well. Add sugar to taste, enjoy the delicious tea you prepared. <p>Weight: 10.5 oz. (300 grams);At-00016;0;4.29;3.99;images/product/Gulluoglu Elma Cay -T.jpg;images/product/Gulluoglu Elma Cay -Q.jpg;images/product/Gulluoglu Elma Cay -Z.jpg;;;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;5.00;0;0;0;316,10,147;
19;Sea Foods: Turkili Stewed Anchovy w/ Oil (Deniz Mahsulleri: Turkili Hamsi Buglama);Excellent Black Sea Anchovy - Fish in a can. Ready Meal. (Harika konservede Kardeniz'in Hamsi - Balik Buglamasi. Hazir Yemek.)<p>Weight: 4.2 oz. (120 grams);At-00017;50;3.29;2.99;images/product/Turkili Hamsi Buglama -T.jpg;images/product/Turkili Hamsi Buglama -Q.jpg;images/product/Turkili Hamsi Buglama -Q.jpg;Sea Food (Deniz Mahsulleri);;;Express Checkout (Hizli Alisveris),By Product Category (Urun Tipine Gore),Express-Seafood (Deniz Mahsulleri);New;;;;5.00;0;0;0;20,767;
20;Sea Foods: Dardanel Tuna Fish (Deniz Mahsulleri: Dardanel Ton Baligi);Experience the Mediterranean Tuna Fish. Ready Meal. (Akdeniz Ton baligini deneyin. Hazir Yemek.)<p>Ingredients: Tunny<p>Nutrition Facts per Serving (Besin &#336~&#287~eleri):<p>Calories(Enerji): 155 kcal.<p>Protein: 22.63<p>Carbohydrate (Karbohidrat): 1.24 g.<p>Phosphor (Fosfor): 181.60 mg.<p>Sodium (Sodyum): 334.4 mg.<p>Iron (Demir): 1.50 mg.<p>A Vitamin: 0.55 mg.<p>E Vitamin: 4.285 mg.<p>Weight(Agirlik): 5.64 oz. (160 grams)<p><p><img src="http://www.tasteofturkey.com/AtkinsS.gif" width="101"height="64" alt="AtkinsS.gif"></p></body></html>;At-00018;49;2.59;2.49;images/product/Dardanel Ton -T.jpg;images/product/Dardanel Ton -Q.jpg;images/product/Dardanel Ton -Q.jpg;Sea Food (Deniz Mahsulleri);;;Express Checkout (Hizli Alisveris),By Product Category (Urun Tipine Gore),Express-Seafood (Deniz Mahsulleri);New;;;;5.00;0;0;0;19,767;
21;Canned Food: Turkili Stuffed Grape Leaves (Konserve: Turkili Yaprak Dolmasi / Sarmasi);Outstanding Stuffed Grape Leaves from Turkili. Ready Meal. (Turkilinden mukemmel bir yaprak dolmasi/sarmasi. Hazir Yemek.)<p>Ingredients (Icindekiler): Water, Onion, Rice, Grape Leaves, Sunflower Oil, Salt, Mint, Currants, Spices, Pine Nut, Citric Acid. (Su, Sogan, Pirinc, Asma Yapragi, Aycicek Yagi, Tuz, Nane, Kusuzumu, Karabiber, Cam Fisitigi, Asitligi Duzenleyici Sitrik Asit.)<p>Nutrition Facts per serving (Besin Ö&#287~eleri):<p>Calories (Enerji): 117.64 kcal.<p>Total Fat (Toplam Yag): 47 g.<p>Cholesterol (Kolesterol): 6 mg.<p>Sodium (Sodyum): 388.21 mg.<p>Total Carbohydrate (Toplam Karbohidrat): 16.47 g.<p>Dietary Fiber (Lif): 1.17 g.<p>Sugar (Seker): 2.35 g.<p>Protein (Protein): 1.17 g.<P>Weight: 15 oz. (425 grams);At-00019;50;2.59;2.39;images/product/Turkili Yaprak Dolma -T.jpg;images/product/Turkili Yaprak Dolma -Q.jpg;images/product/Turkili Yaprak Dolma -Z.jpg;Canned Foods (Konserve Yemekler);;;Express Checkout (Hizli Alisveris),Express-Canned Foods (Konserve Yemekler),By Product Category (Urun Tipine Gore);New;;;;6.00;0;0;0;28,149,22;
22;Canned Food: Tamek Stuffed Cabbage (Konserve: Tamek Lahana Sarmasi / Dolmasi);Fine Staffed Cabbage from Tamek. Ready Meal. (Tamek'den sahane Lahana Dolmasi/Sarmasi. Hazir Yemek.)<p>Ingredients:<p>Weight: 14.8 oz. (400 grams);At-00020;50;2.99;2.59;images/product/Tamek Lahana Dolma -T.jpg;images/product/Tamek Lahana Dolma -Q.jpg;images/product/Tamek Lahana Dolma -Z.jpg;Canned Foods (Konserve Yemekler);;;Express Checkout (Hizli Alisveris),Express-Canned Foods (Konserve Yemekler),By Product Category (Urun Tipine Gore);New;;;;6.00;0;0;0;23,25,14;
23;Canned Food: Tamek Fried/Sliced Eggplant (Konserve: Tamek Patlican Kizartmasi);Wonderful Turkish Style Fried/Sliced Eggplant from Tamek. Ready Meal. (Tamek'den harika bir patlican kizartma. Hazir Yemek.)<p>Ingredients: Eggplant, Water, Green Pepper, Tomato Paste, Sugar, Sunflower Oil, Garlic, Salt, Black Pepper. (Patlican, Su, Yesil Biber, Domates Salcasi, Seker, Aycicek Yagi, Sarimsak, Tuz, Karabiber.)<p>Nutrition Facts per Serving (Besin Ö&#287~eleri):<p>Calories (Kalori): 286.5 kcal.<p>Calories from Fat (Yagdan Kalori): 271.5 kcal.<p>Total Fat (Toplam Yag): 32.5 g.<p>Saturated Fat (Doymus Yag): 15.76 g. <p>Cholesterol (Kolesterol): 0 mg.<p>Sodium (Sodyum): 40.84 g.<p>Total Carbohydrate (Toplam Karbohidrat):2.27 g.<p>Dietary Fiber (Diet Lifi): 2.45 g. <p>Sugars (Sekerler): 6.05 g. <p>Protein (Protein): 2.01 g.<p>Weight (Agirlik): 13.4 oz. (375 grams)<p><p><img src="http://www.tasteofturkey.com/AtkinsS.gif" width="101"height="64" alt="AtkinsS.gif"></p></body></html>;At-00021;50;2.99;2.59;images/product/Tamek Patlican Kizartmasi -T.jpg;images/product/Tamek Patlican Kizartmasi -Q.jpg;images/product/Tamek Patlican Kizartmasi -Z.jpg;Canned Foods (Konserve Yemekler);;;Express Checkout (Hizli Alisveris),Express-Canned Foods (Konserve Yemekler),By Product Category (Urun Tipine Gore);New;;;;6.00;0;0;0;31,26,28;
