UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 5, 2004",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS Next Day Air Saver®,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,
Weight Not To Exceed,Zone 132,Zone 133,Zone 134,Zone 135,Zone 136,Zone 137,Zone 138
100 to 499 Lbs.,1.15,1.58,2.22,2.61,2.9,3.01,3.15
500 to 999 Lbs.,1.1,1.46,2.11,2.47,2.77,2.9,3.01
1000+  Lbs.,1.12,1.49,2.15,2.52,2.83,2.95,3.08

Note: The minimum charge for a Next Day Saver hundredweight shipment will be based on an ,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,

Note:  UPS Next Day Air Saver hundredweight rates are for both Commercial and Residential shipments.,,,,,,,
