UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 5, 2004",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS 2nd Day Air A.M.®,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,
Weight Not To Exceed,Zone 242,Zone 243,Zone 244,Zone 245,Zone 246,Zone 247,Zone 248
100 to 499 Lbs.,0.93,1.13,1.45,1.87,2.3,2.53,2.77
500 to 999 Lbs.,0.87,1.06,1.4,1.77,2.19,2.43,2.67
1000+  Lbs.,0.9,1.09,1.43,1.8,2.23,2.47,2.72

Note: The minimum charge for a 2nd Day A.M. hundredweight shipment will be based on an ,,,,,,,
average weight of 10 pounds per package.  Shipment minimum of 100 pounds.,,,,,,,
