UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 5, 2004",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS 2nd Day Air®,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,
Weight Not To Exceed,Zone 202,Zone 203,Zone 204,Zone 205,Zone 206,Zone 207,Zone 208
100 to 499 Lbs.,0.81,0.95,1.29,1.71,2.07,2.3,2.48
500 to 999 Lbs.,0.75,0.9,1.23,1.59,1.96,2.19,2.38
1000+  Lbs.,0.76,0.92,1.25,1.62,1.99,2.23,2.42

Note: The minimum charge for a 2nd Day hundredweight shipment will be based on an ,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,

Note:  UPS 2nd Day Air hundredweight rates are for both Commercial and Residential shipments.,,,,,,,
